stripped_cell_line_name	sanger_sample_id	sanger_sample_name	sample_label	stripped_sample_label	replicate_letter	replicate	qc_group	time_point_days	cell_line_label	cell_line_name	batch	batch_control	cancer_type	CCLE_Name	DepMap_ID	COSMICID	RRID	cell_line_name_depmap
MP41	5429STDY10316157	MP41_D28C	MP41 D28C	MP41.D28C	C	R3	MP41 D28	28	MP41	MP41	B	NA	Uveal melanoma	NA	NA	NA	NA	NA
OMM1	5429STDY10316138	OMM1_D28B	OMM1 D28B	OMM1.D28B	B	R2	OMM1 D28	28	OMM1	OMM1	B	NA	Uveal melanoma	OMM1_UVEA	ACH-002017	NA	CVCL_6939	Omm1
OMM1	5429STDY10316139	OMM1_D28C	OMM1 D28C	OMM1.D28C	C	R3	OMM1 D28	28	OMM1	OMM1	B	NA	Uveal melanoma	OMM1_UVEA	ACH-002017	NA	CVCL_6939	Omm1
OMM1	5429STDY10316140	OMM1_D35A	OMM1 D35A	OMM1.D35A	A	R1	OMM1 D35	35	OMM1	OMM1	B	NA	Uveal melanoma	OMM1_UVEA	ACH-002017	NA	CVCL_6939	Omm1
OMM1	5429STDY10316141	OMM1_D35B	OMM1 D35B	OMM1.D35B	B	R2	OMM1 D35	35	OMM1	OMM1	B	NA	Uveal melanoma	OMM1_UVEA	ACH-002017	NA	CVCL_6939	Omm1
OMM1	5429STDY10316137	OMM1_D28A	OMM1 D28A	OMM1.D28A	A	R1	OMM1 D28	28	OMM1	OMM1	B	NA	Uveal melanoma	OMM1_UVEA	ACH-002017	NA	CVCL_6939	Omm1
OMM1	5429STDY10316142	OMM1_D35C	OMM1 D35C	OMM1.D35C	C	R3	OMM1 D35	35	OMM1	OMM1	B	NA	Uveal melanoma	OMM1_UVEA	ACH-002017	NA	CVCL_6939	Omm1
OMM23	5429STDY10316128	OMM23_Control_D7A	OMM23 Control D7A	OMM23.Control.D7A	A	R1	OMM23 Control D7	7	OMM23	OMM23	B	control_B	Uveal melanoma	NA	NA	NA	NA	NA
OMM23	5429STDY10316129	OMM23_Control_D7B	OMM23 Control D7B	OMM23.Control.D7B	B	R2	OMM23 Control D7	7	OMM23	OMM23	B	control_B	Uveal melanoma	NA	NA	NA	NA	NA
OMM23	5429STDY10316130	OMM23_Control_D7C	OMM23 Control D7C	OMM23.Control.D7C	C	R3	OMM23 Control D7	7	OMM23	OMM23	B	control_B	Uveal melanoma	NA	NA	NA	NA	NA
OMM23	5429STDY10316131	OMM23_D28A	OMM23 D28A	OMM23.D28A	A	R1	OMM23 D28	28	OMM23	OMM23	B	NA	Uveal melanoma	NA	NA	NA	NA	NA
OMM23	5429STDY10316132	OMM23_D28B	OMM23 D28B	OMM23.D28B	B	R2	OMM23 D28	28	OMM23	OMM23	B	NA	Uveal melanoma	NA	NA	NA	NA	NA
OMM23	5429STDY10316133	OMM23_D28C	OMM23 D28C	OMM23.D28C	C	R3	OMM23 D28	28	OMM23	OMM23	B	NA	Uveal melanoma	NA	NA	NA	NA	NA
OMM23	5429STDY10316134	OMM23_D35A	OMM23 D35A	OMM23.D35A	A	R1	OMM23 D35	35	OMM23	OMM23	B	NA	Uveal melanoma	NA	NA	NA	NA	NA
OMM23	5429STDY10316135	OMM23_D35B	OMM23 D35B	OMM23.D35B	B	R2	OMM23 D35	35	OMM23	OMM23	B	NA	Uveal melanoma	NA	NA	NA	NA	NA
OMM23	5429STDY10316136	OMM23_D35C	OMM23 D35C	OMM23.D35C	C	R3	OMM23 D35	35	OMM23	OMM23	B	NA	Uveal melanoma	NA	NA	NA	NA	NA
