"geneSymbol","modelName","tissue","cancerType","fc_clean","bf_scaled","modelId","geneId","isPanCancer","source"
"RPL23","Mel-285","Eye","Melanoma","-2.92533","-18.66","SIDM01793","SIDG32014","true","Broad"
"RPS9","Mel-285","Eye","Melanoma","-2.89669","-18.442","SIDM01793","SIDG32875","true","Broad"
"LSM2","Mel-285","Eye","Melanoma","-2.89124","-18.004","SIDM01793","SIDG16905","true","Broad"
"RPL34","Mel-285","Eye","Melanoma","-2.88124","-18.325","SIDM01793","SIDG32347","true","Broad"
"RPS13","Mel-285","Eye","Melanoma","-2.87751","-19.272","SIDM01793","SIDG32953","true","Broad"
"SF3A1","Mel-285","Eye","Melanoma","-2.87056","-17.139","SIDM01793","SIDG34247","true","Broad"
"RPL5","Mel-285","Eye","Melanoma","-2.86461","-18.199","SIDM01793","SIDG31334","true","Broad"
"ETF1","Mel-285","Eye","Melanoma","-2.85877","-18.457","SIDM01793","SIDG08148","true","Broad"
"EEF1A1","Mel-285","Eye","Melanoma","-2.84752","-17.679","SIDM01793","SIDG07321","true","Broad"
"UBE2D3","Mel-285","Eye","Melanoma","-2.84459","-17.338","SIDM01793","SIDG40104","true","Broad"
"EEF2","Mel-285","Eye","Melanoma","-2.84333","-17.191","SIDM01793","SIDG07402","true","Broad"
"PRIM1","Mel-285","Eye","Melanoma","-2.83125","-17.24","SIDM01793","SIDG25764","true","Broad"
"RPS19","Mel-285","Eye","Melanoma","-2.82722","-18.215","SIDM01793","SIDG33069","true","Broad"
"COPA","Mel-285","Eye","Melanoma","-2.81751","-16.759","SIDM01793","SIDG05169","true","Broad"
"SNRPG","Mel-285","Eye","Melanoma","-2.81745","-16.759","SIDM01793","SIDG35922","true","Broad"
"FARSB","Mel-285","Eye","Melanoma","-2.8165","-17.833","SIDM01793","SIDG08813","true","Broad"
"DONSON","Mel-285","Eye","Melanoma","-2.80762","-16.688","SIDM01793","SIDG06885","true","Broad"
"RPS8","Mel-285","Eye","Melanoma","-2.78905","-18.565","SIDM01793","SIDG32865","true","Broad"
"MDM2","Mel-285","Eye","Melanoma","-2.77978","-17.554","SIDM01793","SIDG17467","","Broad"
"RPL15","Mel-285","Eye","Melanoma","-2.77763","-18.474","SIDM01793","SIDG31725","true","Broad"
"CLP1","Mel-285","Eye","Melanoma","-2.76804","-17.466","SIDM01793","SIDG04884","true","Broad"
"PSMB6","Mel-285","Eye","Melanoma","-2.75548","-16.994","SIDM01793","SIDG26078","true","Broad"
"PSMA3","Mel-285","Eye","Melanoma","-2.7535","-16.301","SIDM01793","SIDG26058","true","Broad"
"SRSF2","Mel-285","Eye","Melanoma","-2.75179","-17.343","SIDM01793","SIDG36484","true","Broad"
"PAFAH1B1","Mel-285","Eye","Melanoma","-2.738","-16.19","SIDM01793","SIDG23831","true","Broad"
"WDR82","Mel-285","Eye","Melanoma","-2.72754","-16.478","SIDM01793","SIDG41088","true","Broad"
"RPS4X","Mel-285","Eye","Melanoma","-2.71918","-16.887","SIDM01793","SIDG32773","true","Broad"
"RPS27A","Mel-285","Eye","Melanoma","-2.71322","-16.68","SIDM01793","SIDG33225","true","Broad"
"PSMB5","Mel-285","Eye","Melanoma","-2.70729","-17.913","SIDM01793","SIDG26077","true","Broad"
"MCM2","Mel-285","Eye","Melanoma","-2.68989","-16.074","SIDM01793","SIDG17419","true","Broad"
"PSMD3","Mel-285","Eye","Melanoma","-2.67189","-17.025","SIDM01793","SIDG26113","true","Broad"
"DDX21","Mel-285","Eye","Melanoma","-2.65945","-16.64","SIDM01793","SIDG06234","true","Broad"
"STRAP","Mel-285","Eye","Melanoma","-2.63171","-16.718","SIDM01793","SIDG36771","","Broad"
"WDR43","Mel-285","Eye","Melanoma","-2.61776","-15.329","SIDM01793","SIDG41059","true","Broad"
"RPS12","Mel-285","Eye","Melanoma","-2.61425","-16.299","SIDM01793","SIDG32921","true","Broad"
"POLE2","Mel-285","Eye","Melanoma","-2.60179","-17.07","SIDM01793","SIDG25202","true","Broad"
"CDC123","Mel-285","Eye","Melanoma","-2.59551","-15.169","SIDM01793","SIDG04088","true","Broad"
"UBL5","Mel-285","Eye","Melanoma","-2.58376","-15.301","SIDM01793","SIDG40203","true","Broad"
"RPS15A","Mel-285","Eye","Melanoma","-2.58364","-15.716","SIDM01793","SIDG32974","true","Broad"
"CDC5L","Mel-285","Eye","Melanoma","-2.57968","-15.531","SIDM01793","SIDG04032","true","Broad"
"CKAP5","Mel-285","Eye","Melanoma","-2.57787","-15.518","SIDM01793","SIDG04736","true","Broad"
"RPL14","Mel-285","Eye","Melanoma","-2.57678","-16.297","SIDM01793","SIDG31719","true","Broad"
"KIF18A","Mel-285","Eye","Melanoma","-2.56665","-15.938","SIDM01793","SIDG13749","true","Broad"
"MYC","Mel-285","Eye","Melanoma","-2.56498","-16.776","SIDM01793","SIDG21097","true","Broad"
"SNRPD1","Mel-285","Eye","Melanoma","-2.55039","-16.66","SIDM01793","SIDG35901","true","Broad"
"RPS3","Mel-285","Eye","Melanoma","-2.54114","-15.108","SIDM01793","SIDG32711","true","Broad"
"SNRPD3","Mel-285","Eye","Melanoma","-2.54061","-15.104","SIDM01793","SIDG35905","true","Broad"
"RPS11","Mel-285","Eye","Melanoma","-2.54047","-16.581","SIDM01793","SIDG32913","true","Broad"
"UTP4","Mel-285","Eye","Melanoma","-2.53753","-14.754","SIDM01793","SIDG40596","true","Broad"
"RRN3","Mel-285","Eye","Melanoma","-2.53443","-14.942","SIDM01793","SIDG33421","true","Broad"
"RPS14","Mel-285","Eye","Melanoma","-2.52823","-14.687","SIDM01793","SIDG32962","true","Broad"
"NAA10","Mel-285","Eye","Melanoma","-2.52576","-15.627","SIDM01793","SIDG21262","true","Broad"
"TUBB","Mel-285","Eye","Melanoma","-2.50966","-15.783","SIDM01793","SIDG39904","true","Broad"
"LARS1","Mel-285","Eye","Melanoma","-2.50625","-14.852","SIDM01793","SIDG14410","true","Broad"
"SMU1","Mel-285","Eye","Melanoma","-2.50569","-14.848","SIDM01793","SIDG35217","true","Broad"
"RPL27A","Mel-285","Eye","Melanoma","-2.50226","-15.11","SIDM01793","SIDG32170","true","Broad"
"CHMP4B","Mel-285","Eye","Melanoma","-2.49133","-14.742","SIDM01793","SIDG04595","","Broad"
"GINS1","Mel-285","Eye","Melanoma","-2.47999","-14.945","SIDM01793","SIDG10096","true","Broad"
"CDC20","Mel-285","Eye","Melanoma","-2.47361","-14.612","SIDM01793","SIDG04039","true","Broad"
"PSMA5","Mel-285","Eye","Melanoma","-2.47157","-16.03","SIDM01793","SIDG26062","true","Broad"
"ERH","Mel-285","Eye","Melanoma","-2.46845","-15.192","SIDM01793","SIDG07954","true","Broad"
"RBM17","Mel-285","Eye","Melanoma","-2.46693","-15.456","SIDM01793","SIDG26827","true","Broad"
"UPF2","Mel-285","Eye","Melanoma","-2.46664","-14.246","SIDM01793","SIDG40382","true","Broad"
"CDC7","Mel-285","Eye","Melanoma","-2.46391","-14.968","SIDM01793","SIDG04034","true","Broad"
"HSPA9","Mel-285","Eye","Melanoma","-2.46001","-15.403","SIDM01793","SIDG12076","true","Broad"
"SF1","Mel-285","Eye","Melanoma","-2.44762","-15.839","SIDM01793","SIDG34246","true","Broad"
"RPL31","Mel-285","Eye","Melanoma","-2.44392","-15.279","SIDM01793","SIDG32246","true","Broad"
"SF3B5","Mel-285","Eye","Melanoma","-2.41243","-14.442","SIDM01793","SIDG34257","true","Broad"
"PSMA2","Mel-285","Eye","Melanoma","-2.40753","-15.001","SIDM01793","SIDG26054","true","Broad"
"NDC80","Mel-285","Eye","Melanoma","-2.40025","-14.945","SIDM01793","SIDG21514","true","Broad"
"AURKB","Mel-285","Eye","Melanoma","-2.39453","-14.627","SIDM01793","SIDG01983","true","Broad"
"POLR2B","Mel-285","Eye","Melanoma","-2.39441","-14.308","SIDM01793","SIDG25222","true","Broad"
"RPL3","Mel-285","Eye","Melanoma","-2.3931","-14.298","SIDM01793","SIDG31312","true","Broad"
"ATP6V1F","Mel-285","Eye","Melanoma","-2.38993","-14.275","SIDM01793","SIDG01888","true","Broad"
"MCM7","Mel-285","Eye","Melanoma","-2.38907","-14.859","SIDM01793","SIDG17426","true","Broad"
"RBM22","Mel-285","Eye","Melanoma","-2.36957","-13.985","SIDM01793","SIDG26835","true","Broad"
"TUBG1","Mel-285","Eye","Melanoma","-2.36721","-14.424","SIDM01793","SIDG39953","true","Broad"
"PHB2","Mel-285","Eye","Melanoma","-2.36314","-14.661","SIDM01793","SIDG24502","true","Broad"
"RNGTT","Mel-285","Eye","Melanoma","-2.35141","-13.421","SIDM01793","SIDG29191","true","Broad"
"RPS24","Mel-285","Eye","Melanoma","-2.3484","-15.047","SIDM01793","SIDG33134","true","Broad"
"SF3A3","Mel-285","Eye","Melanoma","-2.34786","-13.962","SIDM01793","SIDG34249","true","Broad"
"NUS1","Mel-285","Eye","Melanoma","-2.34122","-14.493","SIDM01793","SIDG22487","true","Broad"
"ABCE1","Mel-285","Eye","Melanoma","-2.34091","-14.22","SIDM01793","SIDG00100","true","Broad"
"PSMB2","Mel-285","Eye","Melanoma","-2.32757","-13.944","SIDM01793","SIDG26072","true","Broad"
"DDX18","Mel-285","Eye","Melanoma","-2.31974","-14.064","SIDM01793","SIDG06223","true","Broad"
"RBM25","Mel-285","Eye","Melanoma","-2.31782","-13.604","SIDM01793","SIDG26848","true","Broad"
"SRSF3","Mel-285","Eye","Melanoma","-2.31514","-13.345","SIDM01793","SIDG36485","true","Broad"
"PSMG4","Mel-285","Eye","Melanoma","-2.31419","-13.154","SIDM01793","SIDG26149","true","Broad"
"DYNLRB1","Mel-285","Eye","Melanoma","-2.30719","-13.963","SIDM01793","SIDG07192","true","Broad"
"PLK1","Mel-285","Eye","Melanoma","-2.30643","-14.226","SIDM01793","SIDG25029","true","Broad"
"RSL24D1","Mel-285","Eye","Melanoma","-2.29813","-13.322","SIDM01793","SIDG33447","true","Broad"
"HEATR1","Mel-285","Eye","Melanoma","-2.29016","-14.102","SIDM01793","SIDG11142","true","Broad"
"INTS11","Mel-285","Eye","Melanoma","-2.28647","-13.237","SIDM01793","SIDG13153","true","Broad"
"TIMM10","Mel-285","Eye","Melanoma","-2.28421","-13.488","SIDM01793","SIDG37717","true","Broad"
"PHF5A","Mel-285","Eye","Melanoma","-2.2823","-13.774","SIDM01793","SIDG24538","true","Broad"
"EIF2B2","Mel-285","Eye","Melanoma","-2.28225","-12.926","SIDM01793","SIDG07520","true","Broad"
"DDX47","Mel-285","Eye","Melanoma","-2.27864","-13.752","SIDM01793","SIDG06254","true","Broad"
"RPL19","Mel-285","Eye","Melanoma","-2.27336","-13.277","SIDM01793","SIDG31831","true","Broad"
"PRPF8","Mel-285","Eye","Melanoma","-2.26948","-13.507","SIDM01793","SIDG25868","true","Broad"
"SBDS","Mel-285","Eye","Melanoma","-2.25955","-14.337","SIDM01793","SIDG33711","true","Broad"
"XAB2","Mel-285","Eye","Melanoma","-2.25538","-13.274","SIDM01793","SIDG41201","true","Broad"
"PRPF38B","Mel-285","Eye","Melanoma","-2.2544","-13.266","SIDM01793","SIDG25876","true","Broad"
"BIRC5","Mel-285","Eye","Melanoma","-2.24846","-13.517","SIDM01793","SIDG02304","true","Broad"
"FBXO5","Mel-285","Eye","Melanoma","-2.24808","-12.857","SIDM01793","SIDG08877","true","Broad"
"PFDN2","Mel-285","Eye","Melanoma","-2.2474","-13.086","SIDM01793","SIDG24383","true","Broad"
"RPS23","Mel-285","Eye","Melanoma","-2.24536","-12.661","SIDM01793","SIDG33123","true","Broad"
"ATP6V0C","Mel-285","Eye","Melanoma","-2.24339","-12.647","SIDM01793","SIDG01905","true","Broad"
"RPL37A","Mel-285","Eye","Melanoma","-2.24159","-13.043","SIDM01793","SIDG32509","true","Broad"
"XRN2","Mel-285","Eye","Melanoma","-2.23273","-13.398","SIDM01793","SIDG41281","true","Broad"
"HAUS1","Mel-285","Eye","Melanoma","-2.22849","-12.541","SIDM01793","SIDG11003","true","Broad"
"HNRNPK","Mel-285","Eye","Melanoma","-2.22344","-12.505","SIDM01793","SIDG11810","true","Broad"
"RRS1","Mel-285","Eye","Melanoma","-2.21904","-12.473","SIDM01793","SIDG33435","true","Broad"
"RPL37","Mel-285","Eye","Melanoma","-2.21369","-12.838","SIDM01793","SIDG32508","true","Broad"
"RPL27","Mel-285","Eye","Melanoma","-2.21356","-12.701","SIDM01793","SIDG32169","true","Broad"
"BRIX1","Mel-285","Eye","Melanoma","-2.20909","-13.053","SIDM01793","SIDG02534","true","Broad"
"EXOSC8","Mel-285","Eye","Melanoma","-2.20843","-12.397","SIDM01793","SIDG08224","true","Broad"
"PDCD2","Mel-285","Eye","Melanoma","-2.20538","-12.777","SIDM01793","SIDG24196","","Broad"
"RPL38","Mel-285","Eye","Melanoma","-2.20439","-13.182","SIDM01793","SIDG32544","true","Broad"
"PSMA4","Mel-285","Eye","Melanoma","-2.20207","-13.171","SIDM01793","SIDG26061","true","Broad"
"YBX1","Mel-285","Eye","Melanoma","-2.20182","-12.999","SIDM01793","SIDG41301","true","Broad"
"TOP1","Mel-285","Eye","Melanoma","-2.19916","-12.331","SIDM01793","SIDG38338","true","Broad"
"GTPBP4","Mel-285","Eye","Melanoma","-2.19868","-13.145","SIDM01793","SIDG10841","true","Broad"
"PRMT1","Mel-285","Eye","Melanoma","-2.19469","-12.945","SIDM01793","SIDG25823","true","Broad"
"PSMC1","Mel-285","Eye","Melanoma","-2.19304","-13.806","SIDM01793","SIDG26086","true","Broad"
"DDX54","Mel-285","Eye","Melanoma","-2.19223","-12.926","SIDM01793","SIDG06262","true","Broad"
"LSM5","Mel-285","Eye","Melanoma","-2.1842","-12.223","SIDM01793","SIDG16913","true","Broad"
"PYROXD1","Mel-285","Eye","Melanoma","-2.179","-13.694","SIDM01793","SIDG26428","","Broad"
"TRAPPC3","Mel-285","Eye","Melanoma","-2.17817","-12.18","SIDM01793","SIDG38635","true","Broad"
"PSMB7","Mel-285","Eye","Melanoma","-2.17387","-13.211","SIDM01793","SIDG26079","true","Broad"
"COPS5","Mel-285","Eye","Melanoma","-2.17385","-12.316","SIDM01793","SIDG05180","true","Broad"
"DHX8","Mel-285","Eye","Melanoma","-2.17353","-12.948","SIDM01793","SIDG06540","true","Broad"
"USPL1","Mel-285","Eye","Melanoma","-2.17092","-12.388","SIDM01793","SIDG40591","true","Broad"
"DYNC1H1","Mel-285","Eye","Melanoma","-2.16519","-13.144","SIDM01793","SIDG07175","true","Broad"
"NCAPG2","Mel-285","Eye","Melanoma","-2.16297","-12.071","SIDM01793","SIDG21445","true","Broad"
"TERF1","Mel-285","Eye","Melanoma","-2.16092","-12.858","SIDM01793","SIDG37463","true","Broad"
"PSMB4","Mel-285","Eye","Melanoma","-2.15654","-12.825","SIDM01793","SIDG26076","true","Broad"
"RUVBL2","Mel-285","Eye","Melanoma","-2.15631","-12.189","SIDM01793","SIDG33538","true","Broad"
"MTOR","Mel-285","Eye","Melanoma","-2.15444","-12.402","SIDM01793","SIDG20992","true","Broad"
"SENP6","Mel-285","Eye","Melanoma","-2.14281","-11.927","SIDM01793","SIDG34065","true","Broad"
"PSMD2","Mel-285","Eye","Melanoma","-2.13842","-12.284","SIDM01793","SIDG26111","true","Broad"
"CCT3","Mel-285","Eye","Melanoma","-2.13672","-12.509","SIDM01793","SIDG03899","true","Broad"
"RPL30","Mel-285","Eye","Melanoma","-2.1367","-11.883","SIDM01793","SIDG32229","true","Broad"
"DUT","Mel-285","Eye","Melanoma","-2.13601","-12.386","SIDM01793","SIDG07087","true","Broad"
"RBM8A","Mel-285","Eye","Melanoma","-2.13492","-11.871","SIDM01793","SIDG26813","true","Broad"
"NRF1","Mel-285","Eye","Melanoma","-2.13127","-12.885","SIDM01793","SIDG22289","true","Broad"
"RPL12","Mel-285","Eye","Melanoma","-2.12969","-12.873","SIDM01793","SIDG31628","true","Broad"
"THAP1","Mel-285","Eye","Melanoma","-2.12149","-12.559","SIDM01793","SIDG37605","true","Broad"
"RACK1","Mel-285","Eye","Melanoma","-2.11742","-12.247","SIDM01793","SIDG26591","true","Broad"
"LUC7L3","Mel-285","Eye","Melanoma","-2.1139","-12.501","SIDM01793","SIDG16954","true","Broad"
"PPWD1","Mel-285","Eye","Melanoma","-2.11156","-12.484","SIDM01793","SIDG25627","true","Broad"
"TUT1","Mel-285","Eye","Melanoma","-2.10954","-11.689","SIDM01793","SIDG39978","true","Broad"
"EIF4A3","Mel-285","Eye","Melanoma","-2.10463","-11.812","SIDM01793","SIDG07586","true","Broad"
"POLR2L","Mel-285","Eye","Melanoma","-2.10451","-12.034","SIDM01793","SIDG25238","true","Broad"
"TICRR","Mel-285","Eye","Melanoma","-2.10327","-12.025","SIDM01793","SIDG37693","true","Broad"
"LSM3","Mel-285","Eye","Melanoma","-2.10143","-12.4","SIDM01793","SIDG16906","true","Broad"
"SNU13","Mel-285","Eye","Melanoma","-2.09801","-12.103","SIDM01793","SIDG35952","true","Broad"
"POLR1C","Mel-285","Eye","Melanoma","-2.09429","-11.959","SIDM01793","SIDG25218","true","Broad"
"NOL10","Mel-285","Eye","Melanoma","-2.09329","-11.73","SIDM01793","SIDG22044","true","Broad"
"INTS4","Mel-285","Eye","Melanoma","-2.09251","-12.177","SIDM01793","SIDG13139","true","Broad"
"NUP205","Mel-285","Eye","Melanoma","-2.0916","-12.996","SIDM01793","SIDG22477","true","Broad"
"EIF2S1","Mel-285","Eye","Melanoma","-2.08991","-12.319","SIDM01793","SIDG07525","true","Broad"
"NUTF2","Mel-285","Eye","Melanoma","-2.08726","-12.299","SIDM01793","SIDG22493","true","Broad"
"RPL7A","Mel-285","Eye","Melanoma","-2.07012","-11.895","SIDM01793","SIDG31400","true","Broad"
"CENPN","Mel-285","Eye","Melanoma","-2.06473","-12.128","SIDM01793","SIDG04339","true","Broad"
"RPL7","Mel-285","Eye","Melanoma","-2.0582","-12.072","SIDM01793","SIDG31399","true","Broad"
"CDK1","Mel-285","Eye","Melanoma","-2.05783","-11.471","SIDM01793","SIDG04139","true","Broad"
"SNAPC1","Mel-285","Eye","Melanoma","-2.05603","-12.062","SIDM01793","SIDG35243","true","Broad"
"THOC1","Mel-285","Eye","Melanoma","-2.05263","-11.652","SIDM01793","SIDG37651","true","Broad"
"PSMA1","Mel-285","Eye","Melanoma","-2.05011","-12.665","SIDM01793","SIDG26053","true","Broad"
"MASTL","Mel-285","Eye","Melanoma","-2.04512","-11.821","SIDM01793","SIDG17337","true","Broad"
"OSGEP","Mel-285","Eye","Melanoma","-2.04235","-11.958","SIDM01793","SIDG23653","true","Broad"
"USP7","Mel-285","Eye","Melanoma","-2.04206","-12.601","SIDM01793","SIDG40463","","Broad"
"NARS1","Mel-285","Eye","Melanoma","-2.03976","-12.582","SIDM01793","SIDG21367","true","Broad"
"KTI12","Mel-285","Eye","Melanoma","-2.03921","-11.934","SIDM01793","SIDG14309","","Broad"
"RPS15","Mel-285","Eye","Melanoma","-2.03791","-12.568","SIDM01793","SIDG32973","true","Broad"
"HCFC1","Mel-285","Eye","Melanoma","-2.03518","-11.524","SIDM01793","SIDG11045","true","Broad"
"CTDP1","Mel-285","Eye","Melanoma","-2.03406","-11.627","SIDM01793","SIDG05649","true","Broad"
"RPL26","Mel-285","Eye","Melanoma","-2.02834","-12.096","SIDM01793","SIDG32131","true","Broad"
"TXNL4A","Mel-285","Eye","Melanoma","-2.02648","-11.681","SIDM01793","SIDG40016","true","Broad"
"SS18L2","Mel-285","Eye","Melanoma","-2.02505","-11.827","SIDM01793","SIDG36503","true","Broad"
"CSE1L","Mel-285","Eye","Melanoma","-2.02093","-11.286","SIDM01793","SIDG05494","true","Broad"
"RPF2","Mel-285","Eye","Melanoma","-2.02002","-12.425","SIDM01793","SIDG31302","true","Broad"
"FCF1","Mel-285","Eye","Melanoma","-2.01778","-11.765","SIDM01793","SIDG08931","true","Broad"
"SMG1","Mel-285","Eye","Melanoma","-2.01712","-12.402","SIDM01793","SIDG35128","true","Broad"
"ACTR2","Mel-285","Eye","Melanoma","-2.01583","-11.75","SIDM01793","SIDG00323","true","Broad"
"RPSA","Mel-285","Eye","Melanoma","-2.01467","-11.483","SIDM01793","SIDG33319","true","Broad"
"DARS1","Mel-285","Eye","Melanoma","-2.0136","-11.232","SIDM01793","SIDG06052","true","Broad"
"SNRPD2","Mel-285","Eye","Melanoma","-2.01338","-11.582","SIDM01793","SIDG35902","true","Broad"
"UBA1","Mel-285","Eye","Melanoma","-2.00973","-12.342","SIDM01793","SIDG40056","true","Broad"
"TOP2A","Mel-285","Eye","Melanoma","-2.00718","-11.934","SIDM01793","SIDG38342","true","Broad"
"RPS10","Mel-285","Eye","Melanoma","-2.00596","-11.418","SIDM01793","SIDG32880","true","Broad"
"PUF60","Mel-285","Eye","Melanoma","-2.00066","-11.487","SIDM01793","SIDG26345","true","Broad"
"RPL13","Mel-285","Eye","Melanoma","-2.00008","-11.266","SIDM01793","SIDG31679","true","Broad"
"COPB2","Mel-285","Eye","Melanoma","-1.99923","-12.259","SIDM01793","SIDG05171","true","Broad"
"IPO13","Mel-285","Eye","Melanoma","-1.99912","-11.125","SIDM01793","SIDG13176","true","Broad"
"MTREX","Mel-285","Eye","Melanoma","-1.99803","-11.622","SIDM01793","SIDG20997","true","Broad"
"WDHD1","Mel-285","Eye","Melanoma","-1.99718","-11.461","SIDM01793","SIDG41029","true","Broad"
"DHX37","Mel-285","Eye","Melanoma","-1.99687","-11.35","SIDM01793","SIDG06552","true","Broad"
"HJURP","Mel-285","Eye","Melanoma","-1.99552","-11.34","SIDM01793","SIDG11384","true","Broad"
"YRDC","Mel-285","Eye","Melanoma","-1.9953","-11.594","SIDM01793","SIDG41346","true","Broad"
"MFAP1","Mel-285","Eye","Melanoma","-1.9928","-11.32","SIDM01793","SIDG17647","true","Broad"
"POLR3A","Mel-285","Eye","Melanoma","-1.99246","-11.076","SIDM01793","SIDG25241","true","Broad"
"RPS7","Mel-285","Eye","Melanoma","-1.99203","-11.314","SIDM01793","SIDG32849","true","Broad"
"MED11","Mel-285","Eye","Melanoma","-1.99104","-11.562","SIDM01793","SIDG17492","true","Broad"
"ALG11","Mel-285","Eye","Melanoma","-1.99036","-11.564","SIDM01793","SIDG00853","true","Broad"
"SSU72","Mel-285","Eye","Melanoma","-1.98801","-11.787","SIDM01793","SIDG36541","true","Broad"
"RPL18","Mel-285","Eye","Melanoma","-1.98497","-11.262","SIDM01793","SIDG31800","true","Broad"
"SARS1","Mel-285","Eye","Melanoma","-1.98205","-10.92","SIDM01793","SIDG33691","true","Broad"
"RPL17","Mel-285","Eye","Melanoma","-1.98186","-11.239","SIDM01793","SIDG31746","true","Broad"
"HAUS7","Mel-285","Eye","Melanoma","-1.98107","-11.233","SIDM01793","SIDG11016","true","Broad"
"YARS1","Mel-285","Eye","Melanoma","-1.98063","-11.23","SIDM01793","SIDG41298","true","Broad"
"PSMD14","Mel-285","Eye","Melanoma","-1.97955","-11.221","SIDM01793","SIDG26133","true","Broad"
"NOB1","Mel-285","Eye","Melanoma","-1.97874","-12.095","SIDM01793","SIDG22022","true","Broad"
"EIF1","Mel-285","Eye","Melanoma","-1.97737","-11.706","SIDM01793","SIDG07494","true","Broad"
"GPN2","Mel-285","Eye","Melanoma","-1.97688","-10.962","SIDM01793","SIDG10489","true","Broad"
"PPP1R11","Mel-285","Eye","Melanoma","-1.97278","-11.277","SIDM01793","SIDG25538","true","Broad"
"FGFR1","Mel-285","Eye","Melanoma","-1.97141","-11.267","SIDM01793","SIDG09086","","Broad"
"HDAC3","Mel-285","Eye","Melanoma","-1.96947","-11.146","SIDM01793","SIDG11117","true","Broad"
"SPATA5L1","Mel-285","Eye","Melanoma","-1.96789","-11.24","SIDM01793","SIDG36171","true","Broad"
"RPLP1","Mel-285","Eye","Melanoma","-1.96374","-11.354","SIDM01793","SIDG32601","true","Broad"
"RPL18A","Mel-285","Eye","Melanoma","-1.95962","-10.835","SIDM01793","SIDG31801","true","Broad"
"VPS25","Mel-285","Eye","Melanoma","-1.95666","-10.813","SIDM01793","SIDG40878","true","Broad"
"EIF3B","Mel-285","Eye","Melanoma","-1.94785","-10.986","SIDM01793","SIDG07537","true","Broad"
"PABPC1","Mel-285","Eye","Melanoma","-1.94322","-10.498","SIDM01793","SIDG23785","true","Broad"
"ATP6V1A","Mel-285","Eye","Melanoma","-1.93999","-11.181","SIDM01793","SIDG01875","true","Broad"
"CENPW","Mel-285","Eye","Melanoma","-1.93795","-10.912","SIDM01793","SIDG04353","true","Broad"
"RPS21","Mel-285","Eye","Melanoma","-1.93585","-10.66","SIDM01793","SIDG33114","true","Broad"
"POP5","Mel-285","Eye","Melanoma","-1.93271","-10.637","SIDM01793","SIDG25287","true","Broad"
"PCNA","Mel-285","Eye","Melanoma","-1.93028","-11.708","SIDM01793","SIDG24143","true","Broad"
